AcceptedName,Family,InvasionStatus ,NativeRegion
Sapindus mukorossi Gaertn.,Sapindaceae,Cultivated,China
Sapium sebiferum Roxb.,Euphorbiaceae,Naturalised/Invasive,China
Saraca declinata Miq.,Caesalpiniaceae,Cultivated,Sumatra
Saraca thaipingensis Cantley ex Prain,Caesalpiniaceae,Cultivated,South East Asia
Saritaea magnifica Dugand,Bignoniaceae,Cultivated,South America
Sarothamnus scoparius W. D. J. Koch.,Paplionaceae,Naturalised,Western Europe
Scadoxus multiflorus (Martyn) Raf.,Amaryllidaceae,Cultivated,Tropical Africa
Schefflera actinophylla Harms,Araliaceae,Cultivated,Australia
Schinus molle L.,Anacardiaceae,Cultivated,South America
Schinus terebinthifolius Raddi,Anacardiaceae,Cultivated,South America
Schizanthus wisetonensis Low.,Solanaceae,Cultivated,South America
Schizolobium excelsum Vog.,Caesalpiniaceae,Cultivated,Brazil
Schizolobium parahyba S. F. Blake,Caesalpiniaceae,Cultivated,South America
Sclerocarpus africanus Jacq.,Asteraceae,Naturalised/Invasive,South America
Scoparia dulcis L.,Scrophulariaceae,Invasive,South America
Sechium edule Sw.,Cucurbitaceae,Cultivated,Central America
Sedum japonicum Sieb.,Crassulaceae,Cultivated,Japan
Selenicereus grandiflorus Briff. & Rose,Cactaceae,Cultivated,Central America
Senecio cruentus DC.,Asteraceae,Cultivated,Canary Islands
Senecio vestitus (Thunb.) Berg.,Asteraceae,Naturalised,South Africa
Senecio vulgaris L.,Asteraceae,Naturalised/Invasive,Europe
Senna alata (L.) Roxb. ,Caesalpiniaceae,Invasive,South America
Senna alexandrina Mill. ,Caesalpiniaceae,Cultivated,Tropical Africa & West Asia
Senna artemisioides Isely ,Caesalpiniaceae,Cultivated,Australia
Senna bicapsularis Roxb. ,Caesalpiniaceae,Casual/Naturalised,Tropical America
Senna corymbosa H.S.Irwin & Barneby ,Paplionaceae,Cultivated,South America
Senna didymobotrya H.S.Irwin & Barneby ,Caesalpiniaceae,Casual/Naturalised,Tropical Africa
Senna hirsuta (L.) H.S. Irwin & Barneby ,Caesalpiniaceae,Invasive,Tropical America
Senna multiglandulosa H.S.Irwin & Barneby ,Caesalpiniaceae,Naturalised/Invasive,Tropical America
Senna multijuga (Rich.) H.S.Irwin & Barneby,Caesalpiniaceae,Cultivated,Tropical America
Senna obtusifolia (L.) H.S.Irwin & Barneby,Caesalpiniaceae,Invasive,Tropical America
Senna occidentalis (L.) Link ,Caesalpiniaceae,Invasive,South America
Senna pallida (Vahl) H.S.Irwin & Barneby ,Caesalpiniaceae,Cultivated,Mexico
Senna planitiicola (Domin) Randell ,Caesalpiniaceae,Naturalised,Australia
Senna septemtrionalis H.S.Irwin & Barneby ,Paplionaceae,Naturalised,Tropical America
Senna siamea (Lam.)H.S.Irwin & Barneby ,Caesalpiniaceae,Cultivated,South East Asia
Senna sophera (L.)Roxb. ,Caesalpiniaceae,Naturalised/Invasive,Tropical America
Senna spectabilis (DC.)H.S.Irwin & Barneby ,Caesalpiniaceae,Cultivated,Tropical America
Senna splendida (Vogel)H.S.Irwin & Barneby ,Caesalpiniaceae,Cultivated,Brazil
Senna surattensis  H.S.Irwin & Barneby ,Caesalpiniaceae,Cultivated,Australasia
Senna timorensis H.S. Irwin & Barneby ,Caesalpiniaceae,Cultivated,Australasia
Senna uniflora H.S.Irwin & Barneby ,Caesalpiniaceae,Invasive,Tropical America
Serissa foetida Lamk.,Rubiaceae,Cultivated,China & Japan
Serissa japonica (Thunb.) Thunb.,Rubiaceae,Cultivated,China & Japan
Sesamum indicum L. ,Pedaliaceae,Cultivated,Cryptogenic
Sesbania grandiflora (L.) Pers.,Paplionaceae,Cultivated,Indonesia
Sesbania sesban (L.) Merr. S.,Paplionaceae,Casual/Naturalised,South Africa
Sesuvium portulacastrum L.,Aizoaceae,Naturalised/Invasive,"North America, South America, Africa"
Setaria italica (L.) Beauv.,Poaceae,Cultivated,"Europe, Northern Africa & West Asia"
Setaria paniculifera (Steud.) Hemsl.,Poaceae,Naturalised,Tropical America
Setaria parviflora (Poir.) Kerguélen ,Poaceae,Casual,Tropical America
Setaria sphacelata Stapf,Poaceae,Casual/Naturalised,Tropical Africa
Setaria verticillata (L.) P. Beauv.,Poaceae,Naturalised,Europe
Setcreasea purpurea L.,Commelinaceae,Cultivated,Central America
Sida acuta Burm. f.,Malvaceae,Invasive,Pantropical
Sida cordata (Burm.f.) Borss.,Malvaceae,Invasive,Tropical America
Sida cordifolia L.,Malvaceae,Naturalised/Invasive,Pantropical
Sida rhombifolia L.,Malvaceae,Naturalised/Invasive,Pantropical
Sida spinosa L. ,Malvaceae,Naturalised/Invasive,Pantropical
Sida veronicaefolia Lamk.,Malvaceae,Naturalised/Invasive,Tropical America
Sigesbeckia orientalis L.,Asteraceae,Naturalised/Invasive,"China, Japan and Australasia"
Silene armeria L.,Caryophyllaceae,Casual,Southern Europe
Silene conoidea L.,Caryophyllaceae,Naturalised/Invasive,Temperate Eurasia
Silene gallica L.,Caryophyllaceae,Naturalised,Europe
Silene latifolia Poir. subsp. alba Greut. & Burdet ,Caryophyllaceae,Naturalised,"Europe, North Africa & West Asia"
Simarouba glauca DC.,Simaroubaceae,Cultivated,Tropical America
Sinapis alba L. ,Brassicaceae,Cultivated,Mediterranean region
Sisymbrium officinale (L.) Scop.,Brassicaceae,Naturalised,"Europe, North Africa & West Asia"
Solanum americanum Mill.,Solanaceae,Invasive,North & South America
Solanum anguivi Lam.,Solanaceae,Naturalised/Invasive,Tropical Africa & Arabia
Solanum betaceum Cav.,Solanaceae,Cultivated,South America
Solanum blumei Nees & Blume,Solanaceae,Naturalised,Malayan peninsula
Solanum elaeagnifolium Cav.,Solanaceae,Naturalised,Mexico
Solanum glaucophyllum Desf. ,Solanaceae,Naturalised/Invasive,South America
Solanum grandiflorum Ruiz. & Pavon.,Solanaceae,Cultivated,South America
Solanum hispidum Pers.,Solanaceae,Naturalised,Tropical America
Solanum laxum Spreng.,Solanaceae,Naturalised,South America
Solanum melongena L.,Solanaceae,Cultivated,Tropical Africa
Solanum myriacanthum Dunal,Solanaceae,Naturalised/Invasive,Central America
Solanum nigrum L.,Solanaceae,Invasive,"Europe, Northern Africa & West Asia"
Solanum seaforthianum Andr.,Solanaceae,Invasive,Tropical America
Solanum sisymbrifolium Lam.,Solanaceae,Naturalised/Invasive,Tropical South America
Solanum torvum Swartz,Solanaceae,Invasive,Tropical America
Solanum triquetrum Cav.,Solanaceae,Naturalised,Central America
Solanum tuberosum L.,Solanaceae,Casual,South America
Solanum viarum Dunal,Solanaceae,Invasive,South America
Solanum wendlandii Hook. f.,Solanaceae,Cultivated,Tropical America
Solanum wrightii Benth.,Solanaceae,Cultivated,South America
Solidago canadensis L.,Asteraceae,Naturalised/Invasive,North America
Solidago microglossa D. C.,Asteraceae,Naturalised,Brazil
Soliva anthemifolia (Juss.) Sweet,Asteraceae,Naturalised/Invasive,South America
Sonchus arvensis L.,Asteraceae,Invasive,Cryptogenic
Sonchus asper Hill,Asteraceae,Invasive,Mediterranean Europe
Sonchus oleraceus L.,Asteraceae,Invasive,Mediterranean Europe
Sonchus wightianus DC.,Asteraceae,Naturalised/Invasive,Europe
Sorghum bicolor (L.) Moench,Poaceae,Naturalised,Tropical Africa
Sorghum halepense Pers.,Poaceae,Naturalised/Invasive,Tropical Africa
Sorghum purpureosericeum Asch. & Schweinf.,Poaceae,Casual/Naturalised,Eastern Africa
Sorghum vulgare Pers.,Poaceae,Casual/Naturalised,West Asia
Spartium junceum L.,Paplionaceae,Cultivated,Mediterranean region
Spathodea campanulata Beauv.,Bignoniaceae,Cultivated,Tropical Africa
Spergula arvensis L.,Caryophyllaceae,Invasive,Europe
Spermacoce articularis L. f. ,Rubiaceae,Invasive,South East Asia
Spermacoce latifolia Aublet,Rubiaceae,Invasive,South America
Spermacoce pusilla Wall. ,Rubiaceae,Naturalised/Invasive,Paleotropical
Sphaeranthus africanus L.,Asteraceae,Invasive,Africa
Sphaeranthus senegalensis DC.,Asteraceae,Naturalised,Africa
Sphagneticola trilobata (L.) Pruski ,Asteraceae,Naturalised,Tropical America
Spinacia oleracea L.,Chenopodiaceae,Cultivated,Iran
Spiraea cantoniensis Lour.,Rosaceae,Casual/Naturalised,China
Spiraea prunifolia Sieb. & Zucc.,Rosaceae,Cultivated,China
Spondias dulcis Parkinson ,Anacardiaceae,Cultivated,South Pacific (Society Islands)
Sporobolus diander (Retz.) P. Beauv.,Poaceae,Invasive,Australia
Stachytarpheta cayennensis (Rich.) Vahl ,Verbenaceae,Invasive,Tropical America
Stachytarpheta jamaicensis (L.) Vahl.  ,Verbenaceae,Invasive,South America
Stachytarpheta mutabilis (Jacq.) Vahl.,Verbenaceae,Casual/Naturalised,Tropical America
Stellaria media Vill.,Caryophyllaceae,Naturalised,Europe
Stenolobium stans Seam,Bignoniaceae,Naturalised,West Indies
Sterculia apetala H. Karst.,Sterculiaceae,Cultivated,Tropical America
Sterculia rupestris Benth.,Sterculiaceae,Cultivated,Australia
Stigmaphyllon ciliatum (Lam.) A. Juss.,Malpighiaceae,Casual,Tropical America
Stipagrostis hirtigluma De Winter,Poaceae,Naturalised,Tropical Africa
Stipagrostis plumosa (L.) Munro ex T. Anders,Poaceae,Casual/Naturalised,Mediterranean region
Strophanthus hispidus DC.,Apocynaceae,Cultivated,Tropical Africa
Stylosanthes hamata (L.)Taub. ,Paplionaceae,Invasive,Central America
Stylosanthes humilis Kunth ,Paplionaceae,Naturalised,South America
Swainsona formosa (G.Don)J.Thompson ,Paplionaceae,Cultivated,Australia
Swietenia macrophylla King,Meliaceae,Cultivated,Tropical America
Swietenia mahagoni Jacq.,Meliaceae,Naturalised,Tropical America
Syncarpia glomulifera Nied.,Myrtaceae,Cultivated,Australia
Synedrella nodiflora Gaertn.,Asteraceae,Invasive,Tropical America
Syzygium aqueum (Burm.f.) Alston,Myrtaceae,Cultivated,Tropical America & Pacific Islands
Syzygium aromaticum (L.) Merr. & L. M. Perry,Myrtaceae,Cultivated,Indonesia
Syzygium jambos (L.) Alston,Myrtaceae,Casual/Naturalised,Tropical America
Syzygium malaccensis Merr. & Perry ,Myrtaceae,Cultivated,Malayan peninsula
Syzygium samarangense Merr. & L. M. Perry,Myrtaceae,Cultivated,Java
Tabebuia aurea Benth. & Hook. f. ex S. Moore,Bignoniaceae,Cultivated,South America
Tabebuia chrysantha Nichols.,Bignoniaceae,Cultivated,South America
Tabebuia pallida Miers,Bignoniaceae,Cultivated,West Indies
Tabebuia pentaphylla Hemsl.,Bignoniaceae,Cultivated,Central America
Tabebuia rosea DC.,Bignoniaceae,Cultivated,South America
Tabernaemontana africana Hook. f.,Apocynaceae,Cultivated,Tropical Africa
Tagetes erecta L.,Asteraceae,Casual/Naturalised,Mexico
Tagetes minuta L.,Asteraceae,Naturalised/Invasive,Tropical Africa
Tagetes patula L.,Asteraceae,Casual,Mexico
Talauma mutabilis Bl.,Magnoliaceae,Cultivated,Tropical America
Talinum calycinum Engelm.,Caryophyllaceae,Cultivated,Mexico
Talinum fruticosum (L.) Juss.,Portulacaceae,Naturalised/Invasive,Tropical America
Talinum paniculatum (Jacq.) Gaertn.,Portulacaceae,Naturalised/Invasive,Tropical America
Talipariti hastatum (L. f.) Fryxell ,Malvaceae,Cultivated,Polynesia
Tamarindus indica L.,Caesalpiniaceae,Casual/Naturalised,Tropical Africa
Taraxacum officinale Weber,Asteraceae,Naturalised,Europe
Taxodium distichum L.,Taxodiaceae,Cultivated,North America
Taxodium mucronata Tenore,Taxodiaceae,Cultivated,Mexico
Tecoma castanifolia (D. Don) Melch.,Bignoniaceae,Cultivated,South America
Tecoma stans (L.) H. B. & K.,Bignoniaceae,Naturalised,South America & West Indies
Tecomaria capensis Lindl.,Bignoniaceae,Cultivated,South Africa
Tephrosia purpurea Pers.,Paplionaceae,Naturalised/Invasive,Pantropical
Tephrosia vogelii Hook. f.,Paplionaceae,Cultivated,Tropical Africa
Teramnus labialis (L. f.) Spreng.,Paplionaceae,Naturalised,Pantropical
Terminalia calamansanai Rolfe,Combretaceae,Cultivated,South East Asia
Terminalia catappa L.,Combretaceae,Cultivated,South East Asia
Terminalia oliveri Brandis,Combretaceae,Cultivated,Myanamar
Terminalia sericea Burch. ex DC.,Combretaceae,Cultivated,Tropical Africa
Tetraclinis articulata (Vahl) Mast.,Cupressaceae,Cultivated,Northern Africa & southern Europe
Tetrapanax papyrifera Koch,Araliaceae,Cultivated,China
Theobroma cacao L.,Sterculiaceae,Cultivated,South America
Thevetia peruviana (Pers.) K. Schum.,Apocynaceae,Cultivated,Tropical America
Thuja occidentalis Bailey,Cupressaceae,Cultivated,North America
Thunbergia alata Bojer ex Sims,Acanthaceae,Casual/Naturalised,Tropical Africa
Thunbergia erecta (Benth.) T. Anderson,Thunbergiaceae,Casual/Naturalised,Tropical Africa
Thymophylla tenuiloba (DC.) Small ,Asteraceae,Casual/Naturalised,Central America
Thyrsostachys oliveri Gamble,Poaceae,Cultivated,South East Asia
Thyrsostachys siamensis Gamble,Poaceae,Cultivated,South East Asia
Tibouchina semidecandra Cogn.,Melastomaceae,Cultivated,Brazil
Tipuana tipu (Benth.) Kuntze,Paplionaceae,Cultivated,South America
Tithonia diversifolia (Hemsley) A. Gray,Asteraceae,Naturalised/Invasive,Central America
Tithonia rotundifolia (Mill.) Blake,Asteraceae,Naturalised,Central America
Torenia fournieri Linden ex Fourn.,Scrophulariaceae,Invasive,China
Trachelospermum divaricatum K. Schum.,Apocynaceae,Cultivated,China
Trachelospermum jasminoides (Lindl.) Lem.,Apocynaceae,Cultivated,South East Asia
Trachycarpus fortunei H. Wendl.,Arecaceae,Cultivated,China & Japan
Trachyspermum copticum (L.) Link ,Apiaceae,Cultivated,America
Tradescantia fluminensis Vell.,Commelinaceae,Casual/Naturalised,Brazil
Tradescantia spathacea Sw. ,Commelinaceae,Cultivated,Tropical South America
Triadica sebifera (L.) Small,Euphorbiaceae,Invasive,China
Tribulus pentandrus Forsk.,Zygophyllaceae,Casual/Naturalised,West Asia
Tribulus terrestris L.,Zygophyllaceae,Invasive,Pantropical
Tridax procumbens L.,Asterceae,Invasive,Mexico
Trifolium alexandrinum L.,Paplionaceae,Casual/Naturalised,West Asia & Asia Minor
Trifolium dubium Sibth.,Paplionaceae,Naturalised,Europe
Trifolium hybridum L.,Paplionaceae,Naturalised,"Europe, northern Africa & West Asia"
Trifolium incarnatum L.,Paplionaceae,Naturalised,Europe
Trifolium pratense L.,Paplionaceae,Naturalised/Invasive,Temperate Eurasia
Trifolium repens L.,Paplionaceae,Naturalised/Invasive,Europe
Trifolium resupinatum L.,Paplionaceae,Casual/Naturalised,Europe
Trifolium subterraneum L.,Paplionaceae,Naturalised,Mediterranean region
Trifolium tomentosum L.,Paplionaceae,Naturalised,"Europe, northern Africa & West Asia"
Trigonella foenum-graecum L.,Paplionaceae,Cultivated,Mediterranean Europe
Triphasia trifolia (Burm. f.) P. Wilson ,Rutaceae,Cultivated,South East Asia
Triplaris americana L.,Polygonaceae,Casual/Naturalised,South America
Tristellateia australasiae A. Rich.,Malpighiaceae,Cultivated,Australasia
Tristania conferta R. Br.,Myrtaceae,Cultivated,Australia
Triumfetta rhomboidea Jacq.,Tiliaceae,Invasive,Tropical America
Tropaeolum majus L.,Tropaeolaceae,Cultivated,South America
Turnera subulata J. E. Sm.,Turneraceae,Invasive,Tropical America
Turnera ulmifolia L. ,Turneraceae,Invasive,Tropical America
Typha angustifolia L.,Typhaceae,Naturalised/Invasive,Europe
Typha domingensis Pers. ,Typhaceae,Invasive,China & Japan
Ulex europeus L.,Paplionaceae,Invasive,Europe
Urena lobata L.,Malvaceae,Invasive,Tropical Africa
Urochloa brizantha R. Webster ,Poaceae,Casual/Naturalised,Tropical Africa
Urochloa decumbens (Stapf) R. D. Webster ,Poaceae,Naturalised,Tropical Africa
Urochloa mosambicensis (Hack.) Dandy,Poaceae,Casual/Naturalised,Eastern Africa
Urochloa mutica (Forsk.) T. Q. Nguyen,Poaceae,Naturalised/Invasive,West Africa
Urochloa panicoides P. Beauv.,Poaceae,Invasive,Tropical Africa
Urochloa ramosa (L.) Nguyen,Poaceae,Naturalised,Tropical Africa
Urochondra setulosa C. E. Hubbard,Poaceae,Naturalised,Northern Africa
Vaccaria pyramidata Medick.,Caryophyllaceae,Invasive,Europe
Vallisneria spiralis L.,Hydrocharitaceae,Naturalised/Invasive,Mediterranean region
Venidium fastuosum Stapf.,Asteraceae,Cultivated,South Africa
Verbascum thapsus L.,Scrophulariaceae,Naturalised,Europe & Africa
Verbascum virgatum Stokes,Scrophulariaceae,Naturalised,Europe
Verbena bipinnatifida Nutt.,Verbenaceae,Cultivated,Central America
Verbena bonariensis L.,Verbenaceae,Casual/Naturalised,Tropical America
Verbena peruviana Britt.,Verbenaceae,Cultivated,South America
Verbena rigida Spreng.,Verbenaceae,Casual/Naturalised,South America
Verbesina encelioides (Cav.) Gray ,Asteraceae,Naturalised/Invasive,Tropical America
Vernicia cordata (Thunb.) Airy Shaw ,Malvaceae,Cultivated,China & Japan
Veronica anagallis-aquatica L.,Scrophulariaceae,Naturalised,Temperate Eurasia
Veronica cinerea (L.) Juss.,Asteraceae,Naturalised/Invasive,West Asia
Vicia faba L.,Paplionaceae,Cultivated,Mediterranean region
Vicia hirsuta Gray.,Paplionaceae,Naturalised,"Europe, western Africa & continental Asia"
Vicia sativa L.,Paplionaceae,Naturalised,"Europe, northern Africa & West Asia"
Vicia villosa Roth,Paplionaceae,Naturalised,Europe
Victoria amazonica (Poepp.) J. C. Sowerby,Nymphaeaceae,Cultivated,Brazil
Victoria cruziana Orb.,Nymphaeaceae,Cultivated,South America
Vigna adenantha (G.Mey.)Marechal & al.,Paplionaceae,Naturalised,South America
Vigna trilobata Verdc.,Paplionaceae,Naturalised,Africa
Vigna umbellata (Thunb.) Ohwi & Ohashi,Paplionaceae,Naturalised/Invasive,Philippines
Vigna unguiculata (L.) Walp.,Paplionaceae,Cultivated,Central America
Vinca major L.,Apocynaceae,Casual/Naturalised,Europe
Viola odorata L.,Violaceae,Casual/Naturalised,Europe & Africa
Viola thomsonii Ouden.,Violaceae,Naturalised,China
Viola tricolor L.,Violaceae,Casual/Naturalised,Europe
Vitex agnus-castus L.,Verbenaceae,Casual/Naturalised,Mediterranean region
Vitex negundo L.,Verbenaceae,Casual/Naturalised,Tropical Asia & Africa
Vitis heyneana Roem. & Schult.,Vitaceae,Cultivated,China
Vitis vinifera L.,Vitaceae,Casual/Naturalised,"Europe, Northern Africa & West Asia"
Vittadinia triloba (Gaudich.) DC.,Asteraceae,Cultivated,Australasia
Voacanga grandifolia (Miq.) Rolfe,Apocynaceae,Cultivated,Australasia
Waltheria indica L.,Malvaceae,Invasive,Tropical America
Washingtonia filifera Wendl.,Arecaceae,Cultivated,North America
Wedelia chinensis Merrill.,Asteraceae,Naturalised,Australasia
Wissadula periplocifolia Thw. ,Malvaceae,Naturalised,Tropical America
Wisteria sinensis Sw.,Paplionaceae,Casual,China
Withania somnifera (L.) Dunal,Solanaceae,Casual/Naturalised,Mediterranean region
Wrightia antidysenterica (L.) R. Br. ,Apocynaceae,Cultivated,Sri Lanka
Xanthium strumarium L.,Asteraceae,Invasive,South America
Xanthosoma lindenii Engl. ,Araceae,Cultivated,Columbia
Youngia japonica (L.) DC.,Asteraceae,Invasive,South America & Australia
Yucca gloriosa L.,Agavaceae,Cultivated,North America
Zantedeschia aethiopica (L.) Spreng.,Araceae,Casual/Naturalised,Southern Africa
Zea mays L.,Poaceae,Cultivated,Central America
Zebrina pendula Schnizl.,Commelinaceae,Cultivated,Mexico
Zephyranthes aurea Baker,Amaryllidaceae,Cultivated,Peru
Zephyranthes candida Herb.,Amaryllidaceae,Cultivated,South America
Zephyranthes citrina Baker,Amaryllidaceae,Cultivated,South America
Zephyranthes grandiflora Lindl.,Amaryllidaceae,Cultivated,Central America
Zephyranthes tubispatha (L'Hér.) Herb.,Amaryllidaceae,Casual/Naturalised,Peru
Zinnia elegans Jacq.,Asteraceae,Casual/Naturalised,Mexico
Zinnia peruviana L.,Asteraceae,Naturalised,Central & South America
Ziziphus joazeiro Mart.,Rhamnaceae,Cultivated,South America
Ziziphus jujuba Mill.,Rhamnaceae,Casual/Naturalised,China
Zornia gibbosa Span.,Paplionaceae,Naturalised/Invasive,Pantropical
