Original name,Family,TPL1.1_CompleteName,ANP,ARP,ASS,BIH,CHH,GOA,GUJ,HAR,HIP,JAK,JHA,KAR,KER,MAP,MAH,MAN,MEG,MIZ,NAG,ODI,PUN,RAJ,SIK,TAN,TRI,UTP,UTH,WBE,AAN,CHA,LAK,DEL,PUD
Bidens pilosa L.,Compositae,Bidens pilosa L.,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0
Boerhavia erecta L.,Nyctaginaceae,Boerhavia erecta L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Brachiaria brizantha (A.Rich.) Stapf,Poaceae,Brachiaria brizantha (A.Rich.) Stapf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachiaria decumbens Stapf,Poaceae,Brachiaria decumbens Stapf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachiaria mutica  (Forssk.) Stapf,Poaceae,Brachiaria mutica (Forssk.) Stapf,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Briza minor L.,Poaceae,Briza minor L.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Bromus catharticus Vahl,Poaceae,Bromus catharticus Vahl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bromus inermis Leyss.,Poaceae,Bromus inermis Leyss.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broussonetia papyrifera (L.) L’Hér. ex Vent.,Moraceae,Broussonetia papyrifera (L.) L'Hér. ex Vent,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brugmansia suaveolens (Humb. & Bonpl. ex Willd.),Solanaceae,Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bryophyllum pinnatum  (Lam.) Oken,Crassulaceae,Bryophyllum pinnatum (Lam.) Oken,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0
Butomus umbellatus L.,Butomaceae,Butomus umbellatus L.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabomba caroliniana A. Gray,Cabombaceae,Cabomba caroliniana A.Gray,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calceolaria mexicana Benth.,Calceolariaceae,Calceolaria mexicana Benth.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calceolaria tripartita Ruiz & Pav.,Calceolariaceae,Calceolaria tripartita Ruiz & Pav.,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Callitris rhomboidea,Cupressaceae,Callitris rhomboidea R. Br. ex Rich. & A. Rich.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calluna vulgaris (L.) Hull,Ericaceae,Calluna vulgaris (L.) Hull,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calopogonium mucunoides Desv.,Leguminosae,Calopogonium mucunoides Desv.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Calyptocarpus vialis Less.,Compositae,Calyptocarpus vialis Less.,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cardamine trichocarpa Hochst. Ex A. Rich.,Brassicaceae,Cardamine trichocarpa Hochst. ex A.Rich.,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carduus edelbergii Rech. F.,Compositae,Carduus edelbergii Rech.f.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmona retusa Lam.,Boraginaceae,Ehretia microphylla Lam.,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Carpesium abrotanoides L.,Compositae,Carpesium abrotanoides L.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Carthamus oxyacantha M.Bieb. ,Compositae,Carthamus oxyacantha M.Bieb.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
Cassia tora (L.) Roxb.,Leguminosae,Senna tora (L.) Roxb.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Cassytha filiformis L.,Lauraceae,Cassytha filiformis L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Catharanthus roseus (L.) G.Don,Apocynaceae,Catharanthus roseus (L.) G.Don,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Celtis sinensis (L.) Sw.,Cannabaceae,Celtis sinensis Pers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Centaurea iberica Trev. Ex Spreng.,Compositae,Centaurea iberica Trevir. ex Spreng.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrosema pubescens Benth.,Leguminosae,Centrosema pubescens Benth.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Centrosema virginianum (L.) Benth.,Leguminosae,Centrosema virginianum (L.) Benth.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Centrostachys aquatica (R.Br.) Moq.,Amaranthaceae,Centrostachys aquatica (R.Br.) Moq.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Cerastium glomeratum Thuill.,Caryophyllaceae,Cerastium glomeratum Thuill.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ceratocephalus falcatus Pers.,Ranunculaceae,Ceratocephalus falcatus (L.) Pers.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
